"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年2月21日","901.00","906.98","913.06","880.45","14.34M","0.18%"
"2020年2月20日","899.41","911.95","912.00","859.94","17.63M","-1.96%"
"2020年2月19日","917.42","923.50","944.78","901.02","25.42M","6.88%"
"2020年2月18日","858.40","841.60","860.00","832.36","16.70M","7.30%"
"2020年2月14日","800.03","787.22","812.97","785.50","15.69M","-0.49%"
"2020年2月13日","804.00","741.84","818.00","735.00","26.29M","4.78%"
"2020年2月12日","767.29","777.87","789.75","763.37","12.02M","-0.92%"
"2020年2月11日","774.38","768.79","783.51","758.00","11.70M","0.40%"
"2020年2月10日","771.28","800.00","819.99","752.40","24.69M","3.10%"
"2020年2月7日","748.07","730.55","769.75","730.00","17.06M","-0.12%"
"2020年2月6日","748.96","699.92","795.83","687.00","39.88M","1.94%"
"2020年2月5日","734.70","823.26","845.98","704.11","48.42M","-17.18%"
"2020年2月4日","887.06","882.96","968.99","833.88","60.94M","13.73%"
"2020年2月3日","780.00","673.69","786.14","673.52","47.23M","19.89%"
"2020年1月31日","650.57","640.00","653.00","632.52","15.72M","1.52%"
"2020年1月30日","640.81","632.42","650.88","618.00","29.01M","10.30%"
"2020年1月29日","580.99","575.69","589.80","567.43","18.22M","2.49%"
"2020年1月28日","566.90","568.49","576.81","558.08","11.79M","1.59%"
"2020年1月27日","558.02","541.99","564.44","539.28","13.61M","-1.20%"
"2020年1月24日","564.82","570.63","573.86","554.26","14.35M","-1.29%"
"2020年1月23日","572.20","564.25","582.00","555.60","19.65M","0.46%"
"2020年1月22日","569.56","571.89","594.50","559.10","31.37M","4.09%"
"2020年1月21日","547.20","530.25","548.58","528.41","17.80M","7.19%"
"2020年1月17日","510.50","507.61","515.67","503.16","13.63M","-0.58%"
"2020年1月16日","513.49","493.75","514.46","492.17","21.74M","-0.97%"
"2020年1月15日","518.50","529.76","537.84","516.79","17.37M","-3.61%"
"2020年1月14日","537.92","544.25","547.41","524.90","29.06M","2.49%"
"2020年1月13日","524.86","493.50","525.63","492.00","26.63M","9.77%"
"2020年1月10日","478.15","481.79","484.94","473.70","12.98M","-0.66%"
"2020年1月9日","481.34","497.10","498.80","472.87","28.46M","-2.19%"
"2020年1月8日","492.14","473.70","498.49","468.23","31.20M","4.92%"
"2020年1月7日","469.06","461.40","471.63","453.36","18.21M","3.88%"
"2020年1月6日","451.54","440.47","451.56","440.00","10.16M","1.93%"
"2020年1月3日","443.01","440.50","454.00","436.92","17.79M","2.96%"
"2020年1月2日","430.26","424.50","430.70","421.71","9.56M","2.85%"
"2019年12月31日","418.33","405.00","421.29","402.08","10.29M","0.88%"
"2019年12月30日","414.70","428.79","429.00","409.26","12.60M","-3.64%"
"2019年12月27日","430.38","435.00","435.31","426.11","9.96M","-0.13%"
"2019年12月26日","430.94","427.91","433.48","426.35","10.65M","1.34%"
"2019年12月24日","425.25","418.36","425.47","412.69","8.05M","1.44%"
