"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年3月20日","261.92","260.60","264.55","258.82","3.61M","0.16%"
"2017年3月17日","261.50","264.00","265.33","261.20","6.50M","-0.21%"
"2017年3月16日","262.05","262.40","265.75","259.06","7.13M","2.47%"
"2017年3月15日","255.73","257.00","261.00","254.27","5.33M","-0.88%"
"2017年3月14日","258.00","246.11","258.12","246.02","7.60M","4.81%"
"2017年3月13日","246.17","244.82","246.85","242.78","3.02M","1.02%"
"2017年3月10日","243.69","246.21","246.50","243.00","3.07M","-0.49%"
"2017年3月9日","244.90","247.63","248.66","243.00","3.88M","-0.80%"
"2017年3月8日","246.87","247.00","250.07","245.32","3.73M","-0.69%"
"2017年3月7日","248.59","251.92","253.89","248.32","3.46M","-1.04%"
"2017年3月6日","251.21","247.91","251.70","247.51","3.36M","-0.14%"
"2017年3月3日","251.57","250.74","251.90","249.00","2.93M","0.44%"
"2017年3月2日","250.48","249.71","253.28","248.27","3.35M","0.18%"
"2017年3月1日","250.02","254.18","254.85","249.11","4.81M","0.01%"
"2017年2月28日","249.99","244.19","251.00","243.90","6.08M","1.53%"
"2017年2月27日","246.23","248.17","248.36","242.01","11.46M","-4.19%"
"2017年2月24日","257.00","252.66","258.25","250.20","8.17M","0.39%"
"2017年2月23日","255.99","264.00","264.66","255.56","14.92M","-6.41%"
"2017年2月22日","273.51","280.31","283.45","272.60","8.75M","-1.40%"
"2017年2月21日","277.39","275.45","281.40","274.01","5.68M","1.90%"
"2017年2月17日","272.23","265.80","272.89","264.15","6.26M","1.22%"
"2017年2月16日","268.95","277.60","280.00","268.50","7.08M","-3.86%"
"2017年2月15日","279.76","280.00","282.24","276.44","4.95M","-0.43%"
"2017年2月14日","280.98","279.03","287.39","278.61","7.35M","0.14%"
"2017年2月13日","280.60","270.74","280.79","270.51","7.03M","4.22%"
"2017年2月10日","269.23","269.79","270.95","266.11","3.62M","0.01%"
"2017年2月9日","269.20","266.25","271.18","266.15","7.82M","2.72%"
"2017年2月8日","262.08","257.35","263.36","256.20","3.93M","1.79%"
"2017年2月7日","257.48","258.19","260.00","256.42","4.24M","-0.11%"
"2017年2月6日","257.77","251.00","257.82","250.63","3.56M","2.56%"
"2017年2月3日","251.33","251.91","252.18","249.68","2.19M","-0.09%"
"2017年2月2日","251.55","248.34","252.42","247.71","2.50M","0.93%"
"2017年2月1日","249.24","253.05","253.20","249.05","3.96M","-1.07%"
"2017年1月31日","251.93","249.24","255.89","247.70","4.12M","0.52%"
"2017年1月30日","250.63","252.53","255.29","247.10","3.80M","-0.92%"
"2017年1月27日","252.95","251.38","253.00","248.52","3.17M","0.17%"
"2017年1月26日","252.51","254.29","255.74","250.75","3.15M","-0.77%"
"2017年1月25日","254.47","257.31","258.46","251.80","5.15M","-0.05%"
"2017年1月24日","254.61","250.00","254.80","249.65","4.97M","2.29%"
"2017年1月23日","248.92","245.85","250.89","245.50","6.26M","1.71%"
"2017年1月20日","244.73","245.46","246.00","243.01","4.20M","0.40%"
"2017年1月19日","243.76","247.25","248.68","240.75","7.73M","2.27%"
"2017年1月18日","238.36","236.65","239.71","235.58","3.77M","1.18%"
"2017年1月17日","235.58","236.70","239.96","234.37","4.62M","-0.91%"
"2017年1月13日","237.75","230.00","237.85","229.59","6.09M","3.55%"
"2017年1月12日","229.59","229.06","230.70","225.58","3.79M","-0.06%"
"2017年1月11日","229.73","229.07","229.98","226.68","3.65M","-0.06%"
"2017年1月10日","229.87","232.00","232.00","226.89","3.66M","-0.61%"
"2017年1月9日","231.28","228.97","231.92","228.00","3.98M","0.99%"
"2017年1月6日","229.01","226.93","230.31","225.45","5.53M","1.00%"
"2017年1月5日","226.75","226.42","227.48","221.95","5.91M","-0.11%"
"2017年1月4日","226.99","214.75","228.00","214.31","11.21M","4.61%"
"2017年1月3日","216.99","214.86","220.33","210.96","5.92M","1.54%"
"2016年12月30日","213.69","216.30","217.50","211.68","4.64M","-0.46%"
"2016年12月29日","214.68","218.56","219.20","214.12","4.04M","-2.30%"
"2016年12月28日","219.74","221.53","223.80","217.20","3.78M","0.10%"
"2016年12月27日","219.53","214.88","222.25","214.42","5.92M","2.90%"
"2016年12月23日","213.34","208.00","213.45","207.71","4.67M","2.35%"
"2016年12月22日","208.45","208.22","209.99","206.50","3.11M","0.36%"
"2016年12月21日","207.70","208.45","212.23","207.41","5.21M","-0.52%"
"2016年12月20日","208.79","203.05","209.00","202.50","4.69M","2.99%"
"2016年12月19日","202.73","202.49","204.45","199.84","3.49M","0.12%"
"2016年12月16日","202.49","198.08","202.59","197.60","3.80M","2.49%"
"2016年12月15日","197.58","198.41","200.74","197.39","3.22M","-0.56%"
"2016年12月14日","198.69","198.74","203.00","196.76","4.15M","0.27%"
"2016年12月13日","198.15","193.18","201.28","193.00","6.82M","2.97%"
"2016年12月12日","192.43","192.80","194.42","191.04","2.44M","0.13%"
"2016年12月9日","192.18","190.87","193.84","190.81","2.72M","-0.06%"
"2016年12月8日","192.29","192.05","192.50","189.54","3.19M","-0.45%"
"2016年12月7日","193.15","186.15","193.40","185.00","5.46M","3.93%"
"2016年12月6日","185.85","185.52","186.58","182.68","3.39M","-0.51%"
"2016年12月5日","186.80","182.51","188.89","182.51","4.07M","2.94%"
"2016年12月2日","181.47","182.88","184.88","180.00","4.04M","-0.23%"
"2016年12月1日","181.88","188.25","188.53","181.00","5.13M","-3.97%"
"2016年11月30日","189.40","191.00","191.89","187.50","3.55M","-0.09%"
"2016年11月29日","189.57","195.56","196.73","189.50","4.44M","-3.34%"
"2016年11月28日","196.12","195.48","199.35","194.55","4.53M","-0.27%"
"2016年11月25日","196.65","193.64","197.24","193.64","2.37M","1.82%"
"2016年11月23日","193.14","190.61","195.64","189.00","4.89M","1.03%"
"2016年11月22日","191.17","185.84","191.47","183.71","5.60M","3.60%"
"2016年11月21日","184.52","185.04","188.89","184.41","4.36M","-0.27%"
"2016年11月18日","185.02","190.65","193.00","185.00","5.21M","-1.93%"
"2016年11月17日","188.66","183.49","189.49","182.11","4.89M","2.57%"
"2016年11月16日","183.93","182.65","184.73","181.21","3.43M","0.09%"
"2016年11月15日","183.77","182.78","186.43","182.05","3.90M","1.28%"
"2016年11月14日","181.45","188.00","188.25","178.19","6.55M","-3.77%"
"2016年11月11日","188.56","184.24","188.88","183.00","3.99M","1.73%"
"2016年11月10日","185.35","191.05","191.61","180.42","6.75M","-2.48%"
"2016年11月9日","190.06","186.88","192.00","183.95","8.17M","-2.50%"
"2016年11月8日","194.94","193.79","197.49","191.26","3.27M","0.90%"
"2016年11月7日","193.21","193.59","194.29","190.05","3.87M","1.39%"
"2016年11月4日","190.56","189.00","193.46","185.96","5.15M","1.68%"
"2016年11月3日","187.42","189.00","191.47","187.04","2.65M","-0.32%"
"2016年11月2日","188.02","190.05","192.70","187.50","4.25M","-1.45%"
"2016年11月1日","190.79","198.04","198.50","188.10","7.06M","-3.51%"
"2016年10月31日","197.73","202.49","202.49","195.81","4.69M","-1.12%"
"2016年10月28日","199.97","204.00","205.32","199.83","4.28M","-1.98%"
"2016年10月27日","204.01","211.34","213.70","201.65","13.09M","0.88%"
"2016年10月26日","202.24","201.00","203.19","200.10","5.63M","-0.05%"
"2016年10月25日","202.34","202.90","204.69","201.20","2.45M","-0.21%"
"2016年10月24日","202.76","201.00","203.95","200.25","2.75M","1.33%"
"2016年10月21日","200.09","198.60","201.57","197.41","2.94M","0.50%"
"2016年10月20日","199.10","202.12","203.00","197.05","5.07M","-2.19%"
"2016年10月19日","203.56","199.74","206.66","198.06","6.99M","2.24%"
"2016年10月18日","199.10","195.99","199.47","193.26","5.68M","2.65%"
"2016年10月17日","193.96","197.05","198.39","192.00","4.55M","-1.30%"
"2016年10月14日","196.51","200.66","201.43","196.30","4.27M","-1.86%"
"2016年10月13日","200.24","200.50","200.90","197.05","2.50M","-0.63%"
"2016年10月12日","201.51","200.95","203.88","200.42","1.97M","0.70%"
"2016年10月11日","200.10","201.85","202.20","198.31","2.33M","-0.42%"
"2016年10月10日","200.95","201.35","204.14","199.66","3.32M","2.21%"
"2016年10月7日","196.61","201.00","201.32","195.80","3.49M","-2.18%"
"2016年10月6日","201.00","202.46","204.21","200.21","4.70M","-3.58%"
"2016年10月5日","208.46","212.24","213.15","208.12","1.88M","-1.40%"
"2016年10月4日","211.41","213.10","213.32","208.82","3.54M","-1.07%"
"2016年10月3日","213.70","212.30","215.67","208.25","6.00M","4.74%"
"2016年9月30日","204.03","202.21","204.98","199.55","2.59M","1.66%"
